İçerik,Tahmin
gazze dakikada cocuk oluyor,kultur 
fenomenlere buyuk darbe ozlem oz den kayyum sonrasi ilk aciklama,teknoloji 
emniyet teskilatina bin polis alinacak duyurular icisleri bakanligi ndan yapilacak,ekonomi 
saganak yagmur istanbul a can suyu oldu,kultur 
cumhurbaskani erdogan katar dan ayrildi,dunya 
isias oteli iddianamesi kabul edildi,teknoloji 
kursun yagmurundan sonra ilk ifade,teknoloji 
misir carsisi nda vatandaslarla bulustu,kultur 
ayhan akman dan secil e yeni sozler,kultur
iyi parti nin secime tek girme kararina ozgur ozel den ilk yorum geldi,siyaset
mehmet ozhaseki den deprem aciklamasi tek cozumu kentsel donusumdur,teknoloji 
israil den gazze ye bin top mermisi ateslendi,dunya 
cumhurbaskani erdogan dan filistin devleti cikisi garantorluge haziriz,dunya 
kabine yarin toplaniyor onemli basliklar masada olacak,siyaset
dosta guven dusmana korku saros ta nusret davet tatbikati,teknoloji 
hedep ibb icin aday ariyor basak demirtas in ismi one cikiyor,kultur 
bursa nafakayi odemeyi unuttugu icin gozaltina alinan yasli adam saliverildi,kultur 
