,comment
0,Cinayeti savunduğumuz yok ama yazılanları okuyorum da hep erkek suçlu öldürdüğü için .Acaba o adamı o hale getiren kişinin hiç mi kabahati yok. Allah bilir ne  yaptı.
1,"Ey idareciler , İDAM ne zaman geri gelecek artık ? BU pervasızlık ne zaman kadar sürecek ? İsrailden beter değil mi bu yapılan ? Ne oluyor ?"
2,İnsan formatını(fıtratını) bozduğunuz zaman kimen nerede ne zaman ne yapacağını bilmeniz mümkün olmaz.
3,Kısasta hayat vardır.
4,Avustralya ve avrupa ülkelerinde  nafaka olayı yok.Anlaşmalı olaylar var.Devlet yardımcı oluyor.İslanda da nafaka olayı belli.Sınırsız nafaka bize mahsus.Kaldırılacak.Kadınlardan korkuluyor!Vay be!
5,Türkiye Yüzyılı'nın devlet teşvikli katilleri eş-meş dinlemez herkesi boğazlar...
6,Tam bir trajedi kadin cinayetlerine bir çözüm bulmalı acilen hükumet bu tür suç işleyenlere sorgusuz sualsiz mühabbet verilmeli öyle  10 15 seneyle kurtulmamali bu caniler
7,Boşandığın zaman artık o senin hiç bir şeyin değildir....tek çare şeriat.... kısasta hayat vardır buyuruyor yüce Allah.... demokrasi sosyalizm vb..insan kanunları asla huzur vermez
8,"Vefat eden kadın için demiyorum, genel durumu söylüyorum. Boşandıktan sonra hiçbir şeyin değilse nafaka da almayacak. Erkek sadece çocuklarına bakmakla yükümlü olacak. Hiçbir şeyi olmayan kadına nafaka ödeyip de kadının sevgilisiyle gönül eğlendirmesinin masrafını ödemeyecek. Vefat eden kadın için demedim, genel duruma dedim"
9,"Nafaka ödüyor sa, veya kadına pozitif ayrımcılık yasaları gereği hukuken haksızlığa uğradıysa ki genelde öyle oluyor. boşanmış sayılmazlar. Ben azmettirici olarak feminist tabanları kanunları görüyorum."
10,Kurban Bayramı'nda hayvan kesilmesini eleştiren aydın kesimin ilçesinde insan kesiliyor.ne tuhaf.
11,Çankaya medeni ve aydın insanların yaşadığı semt değil mi.medeni insan eşiyle konuşmaya neden bıçakla gider.
12,ne alaka yav imrahor deresi dahil Ankara merkezin büyük kısmı Çankaya sınırlarında nerdeyse her yerinde her suç işleniyor çukurambarda rezidanstan atılan masum kızı cahillermi itti
13,Evlenmeninde boşanmanında dinimizde kaidesi belli. İnsan öldürmek nedir? Birşey yaparsa can alamazsın boşarsın artık mahreminde olmaz. İslamdan da insanlıktanda çıkmışsınız
14,Idam. Nokta.
15,Nafaka kavgasıdır. Sonsuz nafaka  yğzğnden insanlar bir birine kıyıyor.Kimin umurunda..Adalet mülkünde canında temelidir.
16,Kısasa kısas yapmada toplumun geleceği için zaruret var.İçeri atıp beslemeyin.
